phi1_deg,lam0_deg,fov_deg,mae
-90.0,-180.0,10.0,105.19602004092866
-90.0,-180.0,30.0,105.19602004092866
-90.0,-180.0,50.0,105.19602004092866
-90.0,-180.0,70.0,105.19602004092866
-90.0,-180.0,90.0,105.19602004092866
-90.0,-140.0,10.0,107.81611173782083
-90.0,-140.0,30.0,107.81611173782083
-90.0,-140.0,50.0,107.81611173782083
-90.0,-140.0,70.0,107.81611173782083
-90.0,-140.0,90.0,107.81611173782083
-90.0,-100.0,10.0,109.85426431236141
-90.0,-100.0,30.0,109.85426431236141
-90.0,-100.0,50.0,109.85426431236141
-90.0,-100.0,70.0,109.85426431236141
-90.0,-100.0,90.0,109.85426431236141
-90.0,-60.0,10.0,110.90579635392488
-90.0,-60.0,30.0,110.90579635392488
-90.0,-60.0,50.0,110.90579635392488
-90.0,-60.0,70.0,110.90579635392488
-90.0,-60.0,90.0,110.90579635392488
-90.0,-20.0,10.0,112.07705888435744
-90.0,-20.0,30.0,112.07705888435744
-90.0,-20.0,50.0,112.07705888435744
-90.0,-20.0,70.0,112.07705888435744
-90.0,-20.0,90.0,112.07705888435744
-90.0,20.0,10.0,111.70631044718951
-90.0,20.0,30.0,111.70631044718951
-90.0,20.0,50.0,111.70631044718951
-90.0,20.0,70.0,111.70631044718951
-90.0,20.0,90.0,111.70631044718951
-90.0,60.0,10.0,111.5904055450146
-90.0,60.0,30.0,111.5904055450146
-90.0,60.0,50.0,111.5904055450146
-90.0,60.0,70.0,111.5904055450146
-90.0,60.0,90.0,111.5904055450146
-90.0,100.0,10.0,111.11403904788077
-90.0,100.0,30.0,111.11403904788077
-90.0,100.0,50.0,111.11403904788077
-90.0,100.0,70.0,111.11403904788077
-90.0,100.0,90.0,111.11403904788077
-90.0,140.0,10.0,117.42610347602687
-90.0,140.0,30.0,117.42610347602687
-90.0,140.0,50.0,117.42610347602687
-90.0,140.0,70.0,117.42610347602687
-90.0,140.0,90.0,117.42610347602687
-90.0,180.0,10.0,118.13618909302839
-90.0,180.0,30.0,118.13618909302839
-90.0,180.0,50.0,118.13618909302839
-90.0,180.0,70.0,118.13618909302839
-90.0,180.0,90.0,118.13618909302839
-70.0,-180.0,10.0,111.75192983480808
-70.0,-180.0,30.0,111.75192983480808
-70.0,-180.0,50.0,111.75192983480808
-70.0,-180.0,70.0,111.75192983480808
-70.0,-180.0,90.0,111.75192983480808
-70.0,-140.0,10.0,106.26735028651169
-70.0,-140.0,30.0,106.26735028651169
-70.0,-140.0,50.0,106.26735028651169
-70.0,-140.0,70.0,106.26735028651169
-70.0,-140.0,90.0,106.26735028651169
-70.0,-100.0,10.0,104.18291903287272
-70.0,-100.0,30.0,104.18291903287272
-70.0,-100.0,50.0,104.18291903287272
-70.0,-100.0,70.0,104.18291903287272
-70.0,-100.0,90.0,104.18291903287272
-70.0,-60.0,10.0,104.99388569657111
-70.0,-60.0,30.0,104.99388569657111
-70.0,-60.0,50.0,104.99388569657111
-70.0,-60.0,70.0,104.99388569657111
-70.0,-60.0,90.0,104.99388569657111
-70.0,-20.0,10.0,108.50995534219332
-70.0,-20.0,30.0,108.50995534219332
-70.0,-20.0,50.0,108.50995534219332
-70.0,-20.0,70.0,108.50995534219332
-70.0,-20.0,90.0,108.50995534219332
-70.0,20.0,10.0,111.7274220788014
-70.0,20.0,30.0,111.7274220788014
-70.0,20.0,50.0,111.7274220788014
-70.0,20.0,70.0,111.7274220788014
-70.0,20.0,90.0,111.7274220788014
-70.0,60.0,10.0,115.13318234485658
-70.0,60.0,30.0,115.13318234485658
-70.0,60.0,50.0,115.13318234485658
-70.0,60.0,70.0,115.13318234485658
-70.0,60.0,90.0,115.13318234485658
-70.0,100.0,10.0,118.69764102755768
-70.0,100.0,30.0,118.69764102755768
-70.0,100.0,50.0,118.69764102755768
-70.0,100.0,70.0,118.69764102755768
-70.0,100.0,90.0,118.69764102755768
-70.0,140.0,10.0,118.70381480370482
-70.0,140.0,30.0,118.70381480370482
-70.0,140.0,50.0,118.70381480370482
-70.0,140.0,70.0,118.70381480370482
-70.0,140.0,90.0,118.70381480370482
-70.0,180.0,10.0,118.99656487622379
-70.0,180.0,30.0,118.99656487622379
